candidate_id,global_id,name,current_tag,material,kind,container,primary_space,primary_space_overlap_ratio,space_overlaps,bbox,top_plane,confirmed_material,review_group,review_required,review_question,basis,confidence,formal_ifc_write_allowed
F12,3L$xQZHiz7b8ws7de1jiZN,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHG,客卫,0.9406827401362591,"[{""global_id"":""3bF9ub5u5FFgmXQtSgfWnW"",""long_name"":""客卫"",""overlap_area_mm2"":602161.5536400883,""covering_overlap_ratio"":0.9406827401362591},{""global_id"":""25Lcecvwn9lg6g3QKgRlJU"",""long_name"":""客卫干区"",""overlap_area_mm2"":37970.90329524837,""covering_overlap_ratio"":0.05931725986374102}]","{""min_mm"":[-1799.8986482620203,1272.5363708809396,-28.772079223194122],""max_mm"":[-999.8986482620201,2072.70194205011,-0.39574892578376],""dimensions_mm"":[800.0000000000002,800.1655711691706,28.376330297410362],""centre_mm"":[-1399.8986482620203,1672.6191564655248,-14.583914074488941]}","{""point_count"":4,""a_dz_dx"":-1.643143799771954e-16,""b_dz_dy"":-0.010472357843478275,""c_mm"":12.932900604019695,""slope_percent"":1.0472357843478275,""downhill_direction"":""N"",""top_min_z_mm"":-8.773175836,""top_max_z_mm"":-0.395748926,""maximum_fit_residual_mm"":1.2656542480726785e-13}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F13,2uYGzJR3f1QO6LmO9Nq3Mf,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHG,客卫,0.9406827401362591,"[{""global_id"":""3bF9ub5u5FFgmXQtSgfWnW"",""long_name"":""客卫"",""overlap_area_mm2"":602161.5536400883,""covering_overlap_ratio"":0.9406827401362591},{""global_id"":""25Lcecvwn9lg6g3QKgRlJU"",""long_name"":""客卫干区"",""overlap_area_mm2"":37970.90329524837,""covering_overlap_ratio"":0.05931725986374102}]","{""min_mm"":[-997.8985428810121,1272.5363708809396,-28.772079223194122],""max_mm"":[-197.89854288101182,2072.70194205011,-0.39574892578376],""dimensions_mm"":[800.0000000000002,800.1655711691706,28.376330297410362],""centre_mm"":[-597.898542881012,1672.6191564655248,-14.583914074488941]}","{""point_count"":4,""a_dz_dx"":-2.3336280886940396e-16,""b_dz_dy"":-0.01047235784347823,""c_mm"":12.9329006040197,""slope_percent"":1.047235784347823,""downhill_direction"":""N"",""top_min_z_mm"":-8.773175836,""top_max_z_mm"":-0.395748926,""maximum_fit_residual_mm"":1.3145040611561853e-13}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F14,3bR3wts7vEBQHsVMX7kiaY,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,1.0,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":560529.0062639103,""covering_overlap_ratio"":1.0}]","{""min_mm"":[-6499.812507629391,1085.1978994682797,-40.00020564220447],""max_mm"":[-5699.81250762939,1785.859157298167,-12.665920121052727],""dimensions_mm"":[800.0000000000009,700.6612578298873,27.33428552115174],""centre_mm"":[-6099.812507629391,1435.5285283832234,-26.3330628816286]}","{""point_count"":4,""a_dz_dx"":-4.599695201832319e-18,""b_dz_dy"":-0.010472357843843032,""c_mm"":-1.2991461010713996,""slope_percent"":1.0472357843843032,""downhill_direction"":""N"",""top_min_z_mm"":-20.001302255,""top_max_z_mm"":-12.665920121,""maximum_fit_residual_mm"":1.7763568394002505e-14}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F15,1XEnNJwc177xHjBydgoQFl,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,1.0,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":560529.0062639097,""covering_overlap_ratio"":1.0}]","{""min_mm"":[-5697.81246185303,1085.1978994682797,-40.00020564220447],""max_mm"":[-4897.81246185303,1785.859157298167,-12.665920121052727],""dimensions_mm"":[800.0,700.6612578298873,27.33428552115174],""centre_mm"":[-5297.81246185303,1435.5285283832234,-26.3330628816286]}","{""point_count"":4,""a_dz_dx"":5.5946490926335636e-18,""b_dz_dy"":-0.010472357843843014,""c_mm"":-1.2991461010713836,""slope_percent"":1.0472357843843014,""downhill_direction"":""N"",""top_min_z_mm"":-20.001302255,""top_max_z_mm"":-12.665920121,""maximum_fit_residual_mm"":1.0658141036401503e-14}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F16,26f3RmUrL3KRqY8Zxzck1h,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,1.0,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":640132.4569353373,""covering_overlap_ratio"":1.0}]","{""min_mm"":[-6499.812507629391,283.24184191975866,-32.64388146380386],""max_mm"":[-5699.81250762939,1083.4074130889294,-4.2675511663942265],""dimensions_mm"":[800.0000000000009,800.1655711691708,28.37633029740963],""centre_mm"":[-6099.812507629391,683.324627504344,-18.455716315099043]}","{""point_count"":4,""a_dz_dx"":-1.365521394200514e-18,""b_dz_dy"":-0.010472357843478148,""c_mm"":-1.299147955855056,""slope_percent"":1.0472357843478148,""downhill_direction"":""N"",""top_min_z_mm"":-12.644978076,""top_max_z_mm"":-4.267551166,""maximum_fit_residual_mm"":8.881784197001252e-15}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F17,2Y6G6pyqLCeQX77WhqqdEe,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,1.0,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":640132.4569353366,""covering_overlap_ratio"":1.0}]","{""min_mm"":[-5697.81246185303,283.24184191975866,-32.64388146380386],""max_mm"":[-4897.81246185303,1083.4074130889294,-4.2675511663942265],""dimensions_mm"":[800.0,800.1655711691708,28.37633029740963],""centre_mm"":[-5297.81246185303,683.324627504344,-18.455716315099043]}","{""point_count"":4,""a_dz_dx"":2.5529182397227213e-18,""b_dz_dy"":-0.010472357843478145,""c_mm"":-1.299147955855039,""slope_percent"":1.0472357843478144,""downhill_direction"":""N"",""top_min_z_mm"":-12.644978076,""top_max_z_mm"":-4.267551166,""maximum_fit_residual_mm"":1.0658141036401503e-14}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F18,3BZcUm$uv91RVw2WGeaPxS,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,0.6452887945715716,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":145161.0844323252,""covering_overlap_ratio"":0.6452887945715716},{""global_id"":""3qDKVXWy5FxAT1_mcfnS37"",""long_name"":""主卫干区"",""overlap_area_mm2"":79794.1381803694,""covering_overlap_ratio"":0.35471120542842866}]","{""min_mm"":[-6499.812507629391,0.25732727453844917,-24.245510646500257],""max_mm"":[-5699.81250762939,281.4513555404063,-1.3040360569525484],""dimensions_mm"":[800.0000000000009,281.19402826586787,22.94147458954771],""centre_mm"":[-6099.812507629391,140.8543414074724,-12.774773351726402]}","{""point_count"":4,""a_dz_dx"":9.101765294828193e-18,""b_dz_dy"":-0.010472357842987248,""c_mm"":-1.2991479483911728,""slope_percent"":1.0472357842987248,""downhill_direction"":""N"",""top_min_z_mm"":-4.246607259,""top_max_z_mm"":-1.304036057,""maximum_fit_residual_mm"":6.394884621840902e-14}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F19,1KOnGcN8n9k9NYzrvWTr4H,Covering,,TerrazzoMosaicTile,sloped_wet_tile,BATHM,主卫湿区,0.6452887945715717,"[{""global_id"":""3a4COIs5X7lgDirMBDT4Vs"",""long_name"":""主卫湿区"",""overlap_area_mm2"":145161.08443232506,""covering_overlap_ratio"":0.6452887945715717},{""global_id"":""3qDKVXWy5FxAT1_mcfnS37"",""long_name"":""主卫干区"",""overlap_area_mm2"":79794.13818036931,""covering_overlap_ratio"":0.35471120542842866}]","{""min_mm"":[-5697.81246185303,0.25732727453844917,-24.245510646500257],""max_mm"":[-4897.81246185303,281.4513555404063,-1.3040360569525484],""dimensions_mm"":[800.0,281.19402826586787,22.94147458954771],""centre_mm"":[-5297.81246185303,140.8543414074724,-12.774773351726402]}","{""point_count"":4,""a_dz_dx"":1.976086538513435e-17,""b_dz_dy"":-0.010472357842986946,""c_mm"":-1.2991479483911663,""slope_percent"":1.0472357842986946,""downhill_direction"":""N"",""top_min_z_mm"":-4.246607259,""top_max_z_mm"":-1.304036057,""maximum_fit_residual_mm"":1.1102230246251565e-13}",,A105-R02,no,1.047% 坡度及箭头所示下坡方向已由用户在 Blender 确认；现有坡面世界几何保持。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F20,11c$NwzxL9hASgCgwDxM$w,Plane,,,finish_reference_plane_material_pending,FFL,客厅,0.22181319465738336,"[{""global_id"":""2wgBPVUpv2DvcZCfbe6fdv"",""long_name"":""客厅"",""overlap_area_mm2"":12089267.550983114,""covering_overlap_ratio"":0.22181319465738336},{""global_id"":""3_nZ2R79H1KBJ9M4f8Yxuj"",""long_name"":""西厨"",""overlap_area_mm2"":8270451.085290488,""covering_overlap_ratio"":0.15174576695812503},{""global_id"":""0XmeOOraz9tP2_CetH7YYh"",""long_name"":""书房"",""overlap_area_mm2"":7938637.325193984,""covering_overlap_ratio"":0.14565766692659757},{""global_id"":""3_0Iqe4h98T8fmNcI7e34S"",""long_name"":""走廊"",""overlap_area_mm2"":7339989.7445738325,""covering_overlap_ratio"":0.13467371510558995},{""global_id"":""2JnxeB$or6D8nffRg7GQbf"",""long_name"":""餐厅"",""overlap_area_mm2"":7290248.173798021,""covering_overlap_ratio"":0.13376105958907258},{""global_id"":""2fhEbDfK1EkhJwlPikNm$b"",""long_name"":""中厨"",""overlap_area_mm2"":4799511.706640977,""covering_overlap_ratio"":0.08806116830121533},{""global_id"":""36NNomu9TDP9xkhh6D2l8K"",""long_name"":""玄关"",""overlap_area_mm2"":3900499.033312467,""covering_overlap_ratio"":0.07156613481242013},{""global_id"":""25Lcecvwn9lg6g3QKgRlJU"",""long_name"":""客卫干区"",""overlap_area_mm2"":1876358.8008527851,""covering_overlap_ratio"":0.034427324747793114},{""global_id"":""3gHz6U6BfFXgV6PnRzfOf$"",""long_name"":""主卧"",""overlap_area_mm2"":639932.4816350423,""covering_overlap_ratio"":0.011741444840878955},{""global_id"":""1W_zE37d90uejTDgSPX_vS"",""long_name"":""主卧入口"",""overlap_area_mm2"":239986.72485351618,""covering_overlap_ratio"":0.004403262802368202},{""global_id"":""0WyQ2Z9pX5qgwfdTOZwAkw"",""long_name"":""次卧"",""overlap_area_mm2"":117139.08377622688,""covering_overlap_ratio"":0.0021492612585557987}]","{""min_mm"":[-2599.98893737793,-5199.83863830566,0.0],""max_mm"":[6500.10108947754,3199.95427131653,0.0],""dimensions_mm"":[9100.09002685547,8399.79290962219,0.0],""centre_mm"":[1950.056076049805,-999.9421834945651,0.0]}","{""point_count"":18,""a_dz_dx"":0.0,""b_dz_dy"":0.0,""c_mm"":0.0,""slope_percent"":0.0,""downhill_direction"":""LEVEL"",""top_min_z_mm"":0.0,""top_max_z_mm"":0.0,""maximum_fit_residual_mm"":0.0}",银白洞石岩板,A105-R01,no,材料和 50 mm 完成面构造区已确认；当前 IFC 仍只是零厚度 FFL 参考面，真实构造层尚未写入。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
F21,3BwA5Rnkf4Bf3v3vTmeWTw,Plane,,,finish_reference_plane_material_pending,FFL,主卧,0.7272366393696181,"[{""global_id"":""3gHz6U6BfFXgV6PnRzfOf$"",""long_name"":""主卧"",""overlap_area_mm2"":12479344.01465465,""covering_overlap_ratio"":0.7272366393696181},{""global_id"":""1W_zE37d90uejTDgSPX_vS"",""long_name"":""主卧入口"",""overlap_area_mm2"":2640561.0379891004,""covering_overlap_ratio"":0.15387930111250211},{""global_id"":""3qDKVXWy5FxAT1_mcfnS37"",""long_name"":""主卫干区"",""overlap_area_mm2"":2040044.459074979,""covering_overlap_ratio"":0.11888405951787961}]","{""min_mm"":[-6499.812126159671,-4399.84121322632,0.0],""max_mm"":[-2599.8236007690502,0.1587867736800863,0.0],""dimensions_mm"":[3899.9885253906205,4400.0,0.0],""centre_mm"":[-4549.817863464361,-2199.84121322632,0.0]}","{""point_count"":4,""a_dz_dx"":0.0,""b_dz_dy"":0.0,""c_mm"":0.0,""slope_percent"":0.0,""downhill_direction"":""LEVEL"",""top_min_z_mm"":0.0,""top_max_z_mm"":0.0,""maximum_fit_residual_mm"":0.0}",地板,A105-R01,no,材料和 50 mm 完成面构造区已确认；当前 IFC 仍只是零厚度 FFL 参考面，真实构造层尚未写入。,formal IFC Body geometry + material association + current Space overlap audit + confirmed A-105 decisions,1.0,no
