drawing_name,drawing_global_id,target_view,scale,shading_style,svg_path,manifest_path,consumers
Sanitary Plan,14rvDJ$4L9o9QVZ86vPmyT,PLAN_VIEW,1/50,Texture without Background,output/review/highpoly-types/falper-sorgente/bonsai-project-context-plan/Sanitary Plan.svg,output/review/highpoly-types/falper-sorgente/bonsai-project-context-plan/Sanitary Plan-source.json,Falper Sorgente WFB visual review
EL-08-30-R16-NY,2KbVwoYuvBSO4yEoqrC9L1,ELEVATION_VIEW,1/50,Blender Default,output/review/highpoly-types/falper-sorgente/bonsai-project-context-elevation/EL-08-30-R16-NY.svg,output/review/highpoly-types/falper-sorgente/bonsai-project-context-elevation/EL-08-30-R16-NY-source.json,Falper Sorgente WFB visual review
