segment_id,covering_global_id,axis,constant_mm,start_mm,end_mm,space_global_ids,space_long_names,candidate_finish_code,candidate_finish,review_required,status,formal_ifc_write_allowed
WFIN-S045,0G4bJcjUL5NPlY312J9TG9,X,3790.146576040759,-4700.0,-1899.8893022630723,004pVXwHv1W8qavLfulRuQ,次卧飘窗,TADELAKT,Tadelakt,no,confirmed_candidate,no
WFIN-S046,3UpLXAml9Bufs6wAjUjPJT,Y,5890.103569031531,-1400.1322740577602,322.59685993036004,36NNomu9TDP9xkhh6D2l8K; 0XmeOOraz9tP2_CetH7YYh,玄关; 书房,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S047,3xKTsYjIjFSOwrsDNweAjR,Y,10.181290739898282,-3350.0000301201885,29.99999999616687,3_nZ2R79H1KBJ9M4f8Yxuj; 3_0Iqe4h98T8fmNcI7e34S,西厨; 走廊,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S048,2jK2g2$tb18Qu3jsAzqyh_,X,-10.0,-199.82126355171198,20.178736448288006,3_0Iqe4h98T8fmNcI7e34S,走廊,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S049,06wFwLoDD6ie5iCTnc_yad,Y,-1789.8985024054252,-17.405383512674177,100.00000000000009,3_0Iqe4h98T8fmNcI7e34S,走廊,WHITE_WALL,大白墙,yes,deferred_material_review,no
WFIN-S050,06wFwLoDD6ie5iCTnc_yad,Y,-1789.8985024054252,100.0,1272.59464597038,25Lcecvwn9lg6g3QKgRlJU,客卫干区,TADELAKT,Tadelakt,yes,deferred_material_review,no
WFIN-S051,1QkVJsQDf6keIyddhN5Dmc,Y,10.180761028684246,-20.00002535180088,3179.9609715041156,3_0Iqe4h98T8fmNcI7e34S; 2wgBPVUpv2DvcZCfbe6fdv,走廊; 客厅,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S052,2xsQvORMH4Lft5PawZ3Bxu,Y,-209.98764241136837,-4379.84526634545,-3699.8452386101008,2JnxeB$or6D8nffRg7GQbf,餐厅,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S053,1pcd3vOPrF9wIHlKsmCv0a,X,-3687.8376317000507,-439.79220390172304,1360.2078216871173,2JnxeB$or6D8nffRg7GQbf; 3_nZ2R79H1KBJ9M4f8Yxuj,餐厅; 西厨,WHITE_WALL,大白墙,no,confirmed_candidate,no
WFIN-S054,2uFOoqROzFVBRlm_TS9tIZ,Y,-409.79320870349505,-4999.832344520821,-4379.636259953781,3AlgzRX3jCvPS420cah9Qn; 2JnxeB$or6D8nffRg7GQbf,餐厅飘窗; 餐厅,WHITE_WALL,大白墙,no,confirmed_candidate,no
