global_id,name,object_type,type_name,type_predefined_type,occurrence_predefined_type,materials,current_status,current_load_bearing,candidate_status,basis,confidence,review_required,visible_in_wall_plan,min_x_mm,min_y_mm,min_z_mm,max_x_mm,max_y_mm,max_z_mm,size_x_mm,size_y_mm,size_z_mm,source_ifc_sha256
2amSzxJIb9ceddTJOslmHk,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-6700.000000,-1100.000000,0.000000,-6500.000000,0.000000,3000.000000,200.000000,1100.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
2cAQkZskLDv8hZ_cW77VS1,Wall,,WAL200S,SOLIDWALL,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-650.000000,3199.999532,0.000000,-449.999532,3400.000000,3000.000000,200.000468,200.000468,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
2h_R7XgCnEihwQ9xO2qxEJ,Wall,,WAL400B,SHEAR,,Concrete,EXISTING,True,CONFIRMED_EXISTING_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=true; user-confirmed blue-gray group,1.0,no,True,6300.000000,3200.000000,0.000000,6700.001014,4000.000507,3000.000000,400.001014,800.000507,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
2nUpG$tzj0vR6tg5N9FJJ_,Wall,,WAL100,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-5001.000000,2.999770,0.000000,-4900.999770,103.000000,2400.000000,100.000230,100.000230,2400.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
322GWgwy5EpfjZYxs3LRoD,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-200.000000,4700.000000,0.000000,4000.000000,4900.000000,3000.000000,4200.000000,200.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
34MraFd1nFsep2QMO2kY48,Wall,,BWW01,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-3000.000000,-5249.982300,0.014257,-200.000000,-4400.000000,650.000000,2800.000000,849.982300,649.985743,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
37ZsdMPsnFCwBzj_WFlAfy,Wall,,WAL200S,SOLIDWALL,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,6099.999538,3200.000000,550.000000,6300.000000,3400.000462,2450.000000,200.000462,200.000462,1900.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3DDP4nbdn6AApndIK6kkR4,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-1700.000000,3400.000000,580.000000,-1500.000000,3800.000000,2480.000000,200.000000,400.000000,1900.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3I1CMx2brDHRAqSOCI6eq6,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-4700.000000,3800.000000,650.000000,-1900.000000,4000.000000,2450.000000,2800.000000,200.000000,1800.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3IOZ8Z$$5DH9cGih34wZt$,Wall,,WAL200B,SHEAR,,Concrete,EXISTING,True,CONFIRMED_EXISTING_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=true; user-confirmed blue-gray group,1.0,no,True,-3200.000000,-4400.001446,0.000000,-2999.989881,-3000.000000,3000.000000,200.010119,1400.001446,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3Iwtjib290RgoxOZXiXjY_,Wall,,WAL200B,SHEAR,,Concrete,EXISTING,True,CONFIRMED_EXISTING_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=true; user-confirmed blue-gray group,1.0,no,True,-200.000000,0.000000,0.000000,0.000000,3200.000000,3000.000000,200.000000,3200.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3JyOUPuivAwvLvV8DSz6CD,Wall,,BWW01,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,False,4000.000000,3200.000000,2450.014893,6300.000000,3999.987000,3000.000000,2300.000000,799.987000,549.985107,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3Ks3Ov9p5EJ93H8eLBmiyy,Wall,,WAL200S,SOLIDWALL,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,4000.000000,3199.999532,550.000000,4200.000468,3400.000000,2450.000000,200.000468,200.000468,1900.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3KxJ$jTjT69vr2qwa3swbL,Wall,,BWW01,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,False,-4700.000000,3200.000000,2450.014893,-1900.000000,3999.987000,3000.014365,2800.000000,799.987000,549.999473,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3NM8wlQfDDFB3rAZF1Mq_N,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,6500.000000,103.000000,0.000000,6700.000000,600.000000,3000.000000,200.000000,497.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3OVQygdDn17huGOgJJFTOY,Wall,,WAL100P,PLUMBINGWALL,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-6480.000000,-1030.000000,0.000000,-6380.000000,-70.000000,700.000000,100.000000,960.000000,700.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3TV2zkQdH3QRCAFhe47WOL,Wall,,BWW02,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,False,200.000000,-6050.000000,2470.010803,3000.000000,-5200.000000,3000.010386,2800.000000,850.000000,529.999583,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3VgMpCodXEA9ViTVPIQmcR,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-4901.000000,400.000000,0.000000,-4701.000000,2600.000000,2520.000000,200.000000,2200.000000,2520.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3W8L7rd6vBx9Y_wSLIYlqb,Wall,,WAL100,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-1900.000000,3.000000,0.000000,-1800.000000,203.000000,2600.000000,100.000000,200.000000,2600.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
