global_id,target_x_mm,target_y_mm,target_z_mm,anchor_kind,basis,confidence
3ZKyTiBc1ECxQi0UR8K1Ke,-6500,-2200,3000,integer-point-on-physical-axis-edge,现有 RFL Slab 物理轴向边上的 100 mm Grid 点,0.99
2vTSinfYHC$8prkGP7LD7X,-100,2400,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
0wbKH$_Qr2_A4hpKs0PLXw,-3200,-3700,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
1fAJA2jj59uhEyVVcR7EM7,1900,4700,-100,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
1cmuG50mj3cggtIH5tZHic,3300,3200,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
02eX$Z5WrDuuxw1IlnwVss,-3300,3200,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
0G_rbqpMHE28Txkf09jW3_,-3000,-4500,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
